atom_id,label,lift,local_freq,global_freq,n_with_report,top3_by_lift,freq_pct
52,Atrial pacing,39.97,0.188,0.0047,15.0,"Atrial pacing(lift 40.0,n3) | Inferior/lateral ST-T changes may be due to myocardial ischemia(lift 14.7,n3) | Right bundle branch block(lift 10.4,n7)",0.0019999125038279
53,Prolonged PR interval,64.03,0.45,0.007,18.0,"Prolonged PR interval(lift 64.0,n9) | Nonspecific T abnormalities, lateral leads(lift 52.7,n3) | Prolonged QT interval(lift 5.4,n5)",3.9200784965657753
54,Possible atrial flutter with slow ventricular response,451.15,0.15,0.0003,20.0,"Possible atrial flutter with slow ventricular response(lift 451.1,n3) | Ventricular pacing.(lift 62.3,n3) | Pacemaker rhythm - no further analysis(lift 14.1,n5)",0.2207403426100108
55,Accelerated idioventricular rhythm,108.0,0.25,0.0023,20.0,"Accelerated idioventricular rhythm(lift 108.0,n5) | Ventricular pacing.(lift 62.3,n3) | Ventricular pacing(lift 54.9,n9)",2.940496353284544
56,Prolonged QT interval,3.24,0.15,0.0463,17.0,"Prolonged QT interval(lift 3.2,n3) | Low QRS voltages in precordial leads(lift 3.0,n3) | Sinus bradycardia(lift 2.7,n4)",0.0579974626110107
57,Sinus tachycardia,8.57,0.45,0.0525,19.0,"Sinus tachycardia(lift 8.6,n9) | Lateral T wave changes are nonspecific(lift 7.4,n4)",5.490259801133701
58,Short PR interval,28.73,0.4,0.0139,20.0,"Short PR interval(lift 28.7,n8) | Sinus tachycardia.(lift 11.5,n4) | Sinus tachycardia(lift 8.6,n9)",11.31450499040667
59,Extensive infarct - age undetermined,41.34,0.25,0.006,20.0,"Extensive infarct - age undetermined(lift 41.3,n5) | Sinus rhythm with borderline 1st degree A-V block(lift 19.6,n6) | Low QRS voltages in precordial leads(lift 7.0,n7)",0.2687382427018818
60,Inferior/lateral ST-T changes may be due to hypertrophy and/or ischemia,19.08,0.15,0.0079,20.0,"Inferior/lateral ST-T changes may be due to hypertrophy and/or ischemia(lift 19.1,n3) | Possible left atrial abnormality(lift 18.7,n7) | Inferior/lateral ST-T changes may be due to myocardial ischemia(lift 11.8,n3)",4.512677570356297
61,Sinus rhythm with borderline 1st degree A-V block.,33.15,0.15,0.0045,20.0,"Sinus rhythm with borderline 1st degree A-V block.(lift 33.2,n3) | Left bundle branch block(lift 29.2,n17) | *** CONSIDER ACUTE ST ELEVATION MI ***(lift 13.8,n3)",3.544469929440587
62,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
63,Probable supraventricular tachycardia.,932.68,0.45,0.0005,18.0,"Probable supraventricular tachycardia.(lift 932.7,n9) | Supraventricular tachycardia(lift 550.5,n3) | Repolarization abnormality, prob rate related(lift 377.4,n3)",0.0027498796927634
64,Normal ECG based on available leads,88.85,0.25,0.0028,20.0,"Normal ECG based on available leads(lift 88.9,n5) | Sinus bradycardia.(lift 13.6,n4) | Lateral T wave changes are nonspecific(lift 5.5,n3)",0.0187491797233871
65,Atrial flutter with uncontrolled ventricular response with 2:1 A-V block,1904.85,0.3,0.0002,20.0,"Atrial flutter with uncontrolled ventricular response with 2:1 A-V block(lift 1904.8,n6) | Atrial flutter with uncontrolled ventricular response with 2:1 A-V block.(lift 1322.4,n4) | Atrial flutter with rapid ventricular response with 2:1 A-V block(lift 164.2,n3)",0.4222315273706775
66,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
67,Sinus rhythm with 1st degree A-V block,17.41,0.25,0.0144,20.0,"Sinus rhythm with 1st degree A-V block(lift 17.4,n5) | Possible left anterior fascicular block(lift 14.7,n4) | Prolonged QT interval(lift 10.8,n10)",4.935159086789953
68,Possible anterior infarct - age undetermined,3.49,0.15,0.0429,18.0,"Possible anterior infarct - age undetermined(lift 3.5,n3) | Low QRS voltages in precordial leads(lift 3.0,n3) | Left axis deviation(lift 1.6,n3)",0.0689969813820645
69,Left bundle branch block,34.37,1.0,0.0291,20.0,"Left bundle branch block(lift 34.4,n20) | Low QRS voltages in limb leads(lift 8.1,n4) | Sinus tachycardia(lift 2.9,n3)",4.630422419019168
70,Prolonged QT interval,5.4,0.25,0.0463,17.0,"Prolonged QT interval(lift 5.4,n5) | Inferior T wave changes are nonspecific(lift 4.1,n3)",0.0152493328416881
71,Sinus bradycardia,3.33,0.25,0.0751,13.0,"Sinus bradycardia(lift 3.3,n5)",0.2468641996912635
72,Extensive infarct - age undetermined,33.07,0.2,0.006,20.0,"Extensive infarct - age undetermined(lift 33.1,n4) | Prolonged QT interval(lift 4.3,n4) | Low QRS voltages in precordial leads(lift 4.0,n4)",0.0171242508140268
73,Atrial pacing,85.27,0.4,0.0047,18.0,"Atrial pacing(lift 85.3,n8) | Prolonged QT interval(lift 7.6,n7)",0.0293737148999731
74,Left anterior fascicular block,22.19,0.35,0.0158,20.0,"Left anterior fascicular block(lift 22.2,n7) | Possible left anterior fascicular block(lift 11.1,n3) | Possible anteroseptal infarct - age undetermined(lift 8.6,n3)",4.069071978100958
75,"Extreme tachycardia with wide complex, no further rhythm analysis attempted",1714.36,0.15,0.0001,19.0,"Extreme tachycardia with wide complex, no further rhythm analysis attempted(lift 1714.4,n3) | Anteroseptal ST depression is probably reciprocal to inferior infarct(lift 181.6,n3) | Marked precordial ST depression, CONSIDER ACUTE INFARCT(lift 141.9,n3)",0.1067453298918172
76,*** INFERIOR INFARCT - POSSIBLY ACUTE ***,325.22,0.15,0.0005,20.0,"*** INFERIOR INFARCT - POSSIBLY ACUTE ***(lift 325.2,n3) | Marked precordial ST depression, CONSIDER ACUTE INFARCT(lift 189.1,n4) | Accelerated idioventricular rhythm(lift 86.4,n4)",4.318186079359028
77,Sinus rhythm with bigeminal PVCs.,647.8,0.2,0.0003,20.0,"Sinus rhythm with bigeminal PVCs.(lift 647.8,n4) | Sinus rhythm with bigeminal PVCs(lift 615.4,n9) | Sinus rhythm with frequent PVCs(lift 95.3,n3)",0.2519889754823226
78,NO_SPECIFIC_DX,0.0,0.0,0.0,1.0,,0.0002499890629784
79,Anterior T wave changes are nonspecific,9.51,0.2,0.021,18.0,"Anterior T wave changes are nonspecific(lift 9.5,n4) | Low QRS voltages in precordial leads(lift 4.0,n4) | Prolonged QT interval(lift 3.2,n3)",3.650340297611979
80,Sinus tachycardia.,16.47,0.286,0.0173,14.0,"Sinus tachycardia.(lift 16.5,n4) | Sinus tachycardia(lift 10.9,n8) | Left axis deviation(lift 2.3,n3)",0.0017499234408494
81,Leftward axis,6.0,0.25,0.0416,16.0,"Leftward axis(lift 6.0,n5) | Low QRS voltages in precordial leads(lift 6.0,n6) | Inferior infarct - age undetermined(lift 3.8,n4)",5.587505546632335
82,Low QRS voltages in precordial leads,3.98,0.2,0.0503,19.0,"Low QRS voltages in precordial leads(lift 4.0,n4) | Prolonged QT interval(lift 3.2,n3)",0.1382439518271075
83,Generalized low QRS voltages,32.72,0.25,0.0076,19.0,"Generalized low QRS voltages(lift 32.7,n5) | Left anterior fascicular block(lift 9.5,n3) | Possible anterior infarct - age undetermined(lift 5.8,n5)",0.0926209478335322
84,Possible ectopic atrial bradycardia,65.94,0.15,0.0023,20.0,"Possible ectopic atrial bradycardia(lift 65.9,n3) | Consider left atrial abnormality(lift 43.2,n4) | Sinus bradycardia with 1st degree A-V block(lift 24.0,n3)",3.006493465910866
85,Possible idioventricular rhythm with slow ventricular response,427.83,0.2,0.0005,20.0,"Possible idioventricular rhythm with slow ventricular response(lift 427.8,n4) | A-V sequential pacemaker(lift 58.6,n3) | Extensive infarct - age undetermined(lift 33.1,n4)",2.4192691569743823
86,Extensive ST elevation suggests pericarditis,131.01,0.15,0.0011,12.0,"Extensive ST elevation suggests pericarditis(lift 131.0,n3)",6.020861587305555
87,Severe right axis deviation,77.52,0.2,0.0026,20.0,"Severe right axis deviation(lift 77.5,n4) | Sinus bradycardia.(lift 13.6,n4) | Low QRS voltages in precordial leads(lift 4.0,n4)",0.7019692888436131
88,NO_SPECIFIC_DX,0.0,0.0,0.0,11.0,,9.823070240676971
89,Right bundle branch block,3.58,0.15,0.0419,18.0,"Right bundle branch block(lift 3.6,n3) | Low QRS voltages in precordial leads(lift 3.0,n3)",0.6070984394432744
90,NO_RECORDS,0.0,0.0,0.0,,,0.0
91,Possible lateral infarct - age undetermined,40.05,0.2,0.005,16.0,"Possible lateral infarct - age undetermined(lift 40.1,n4) | Inferior infarct - age undetermined(lift 2.9,n3) | Sinus bradycardia(lift 2.0,n3)",14.224627672539327
92,Inferior infarct - age undetermined,4.81,0.25,0.052,12.0,"Inferior infarct - age undetermined(lift 4.8,n3) | Left axis deviation(lift 2.7,n3)",0.0014999343778709
93,Junctional rhythm,869.6,0.35,0.0004,17.0,"Junctional rhythm(lift 869.6,n7) | Left bundle branch block(lift 6.9,n4)",0.0341235070965645
94,Right bundle branch block,3.98,0.167,0.0419,17.0,"Right bundle branch block(lift 4.0,n3)",0.0022499015668064
95,Inferior/lateral ST-T changes may be due to myocardial ischemia,23.56,0.3,0.0127,20.0,"Inferior/lateral ST-T changes may be due to myocardial ischemia(lift 23.6,n6) | Atrial fibrillation with rapid ventricular response.(lift 19.8,n3) | Right bundle branch block(lift 13.1,n11)",3.407975901054329
96,A-V sequential pacemaker,117.19,0.3,0.0026,19.0,"A-V sequential pacemaker(lift 117.2,n6) | Pacemaker rhythm - no further analysis(lift 33.7,n12) | Age not entered, assumed to be  50 years old for purpose of ECG interpretation(lift 24.1,n3)",0.0282487641165699
97,NO_RECORDS,0.0,0.0,0.0,,,0.0
98,IV conduction defect,9.33,0.3,0.0322,19.0,"IV conduction defect(lift 9.3,n6) | Prolonged QT interval(lift 4.3,n4) | Inferior infarct - age undetermined(lift 3.8,n4)",0.0114994968970107
99,Prolonged QT interval,4.32,0.2,0.0463,12.0,"Prolonged QT interval(lift 4.3,n4)",4.74804227315055
100,Left bundle branch block,27.5,0.8,0.0291,20.0,"Left bundle branch block(lift 27.5,n16) | Left axis deviation(lift 10.6,n20) | IV conduction defect(lift 6.2,n4)",2.199278781553307
101,ST junctional depression is nonspecific,15.89,0.2,0.0126,20.0,"ST junctional depression is nonspecific(lift 15.9,n4) | Sinus tachycardia.(lift 11.5,n4) | Sinus tachycardia(lift 11.4,n12)",0.9063353478285324
102,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
103,"ST elev, probable normal early repol pattern",31.15,0.15,0.0048,19.0,"ST elev, probable normal early repol pattern(lift 31.1,n3) | Sinus bradycardia(lift 6.7,n10) | Right bundle branch block(lift 3.6,n3)",9.631703612966932
104,Missing lead(s): V6,8362.74,0.429,0.0001,7.0,"Missing lead(s): V6(lift 8362.7,n3) | Incomplete analysis due to missing data in precordial lead(s)(lift 4131.0,n3) | Sinus tachycardia(lift 8.2,n3)",0.0008749617204247
105,Left bundle branch block,8.59,0.25,0.0291,20.0,"Left bundle branch block(lift 8.6,n5) | IV conduction defect(lift 6.2,n4) | Atrial fibrillation(lift 3.6,n3)",0.0047497921965913
106,Atrial pacing,106.59,0.5,0.0047,19.0,"Atrial pacing(lift 106.6,n10) | Sinus rhythm with 1st degree A-V block(lift 10.4,n3) | Prolonged QT interval(lift 5.4,n5)",2.65550882148906
107,Pacemaker rhythm - no further analysis,14.06,0.25,0.0178,12.0,"Pacemaker rhythm - no further analysis(lift 14.1,n3) | Lateral T wave changes are nonspecific(lift 9.2,n3)",0.0014999343778709
108,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
109,Atrial fibrillation with slow ventricular response.,70.88,0.15,0.0021,20.0,"Atrial fibrillation with slow ventricular response.(lift 70.9,n3) | Atrial fibrillation.(lift 13.7,n3) | Rightward axis(lift 13.6,n3)",1.9036667145812367
110,Sinus bradycardia,8.66,0.65,0.0751,20.0,"Sinus bradycardia(lift 8.7,n13)",2.944871161886668
111,Anterolateral ST-T changes may be due to hypertrophy and/or ischemia,132.21,0.35,0.0026,20.0,"Anterolateral ST-T changes may be due to hypertrophy and/or ischemia(lift 132.2,n7) | Extensive ST-T changes are probably due to ventricular hypertrophy(lift 53.4,n4) | LVH with secondary repolarization abnormality(lift 51.8,n19)",1.2443205609754573
112,Sinus bradycardia with 1st degree A-V block,80.02,0.5,0.0062,20.0,"Sinus bradycardia with 1st degree A-V block(lift 80.0,n10) | Inferior/lateral ST-T changes are nonspecific(lift 8.7,n3)",5.751248382883249
113,NO_SPECIFIC_DX,0.0,0.0,0.0,5.0,,0.0006249726574462
114,Possible ectopic atrial rhythm,33.21,0.2,0.006,20.0,"Possible ectopic atrial rhythm(lift 33.2,n4) | RBBB with left anterior fascicular block(lift 20.9,n11) | Right bundle branch block(lift 9.5,n8)",1.501809295843307
115,Possible right atrial abnormality,31.94,0.15,0.0047,19.0,"Possible right atrial abnormality(lift 31.9,n3) | Possible left atrial abnormality(lift 10.7,n4) | Sinus tachycardia(lift 6.7,n7)",5.4240126994444
116,Lateral ST-T changes are probably due to ventricular hypertrophy,19.8,0.15,0.0076,19.0,"Lateral ST-T changes are probably due to ventricular hypertrophy(lift 19.8,n3) | Left ventricular hypertrophy(lift 7.8,n6) | Prolonged QT interval(lift 6.5,n6)",11.347378552188342
117,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
118,Tall T waves - consider acute ischemia or hyperkalemia,92.49,0.2,0.0022,20.0,"Tall T waves - consider acute ischemia or hyperkalemia(lift 92.5,n4) | Extensive infarct - age undetermined(lift 91.0,n11) | Possible extensive infarct - age undetermined(lift 79.4,n3)",2.390270425668877
119,Poor R wave progression - probable normal variant,4.32,0.2,0.0463,19.0,"Poor R wave progression - probable normal variant(lift 4.3,n4) | Left ventricular hypertrophy(lift 3.9,n3)",0.0064997156374408
120,RBBB with left anterior fascicular block,26.63,0.7,0.0263,20.0,"RBBB with left anterior fascicular block(lift 26.6,n14) | Indeterminate axis(lift 21.3,n3) | Sinus rhythm with borderline 1st degree A-V block(lift 9.8,n3)",2.203278606560963
121,Extensive infarct - age undetermined,41.34,0.25,0.006,20.0,"Extensive infarct - age undetermined(lift 41.3,n5) | Consider left atrial abnormality(lift 32.4,n3) | Right axis deviation(lift 26.0,n4)",0.8860862337272745
122,A-V sequential pacemaker,136.72,0.35,0.0026,20.0,"A-V sequential pacemaker(lift 136.7,n7) | Pacemaker rhythm - no further analysis(lift 42.2,n15) | Ventricular pacing(lift 36.6,n6)",0.779215909303968
123,Lateral ST-T changes may be due to myocardial ischemia,27.45,0.5,0.0182,6.0,"Lateral ST-T changes may be due to myocardial ischemia(lift 27.5,n3) | Inferior infarct - age undetermined(lift 16.0,n5) | Left axis deviation(lift 8.9,n5)",0.0007499671889354
124,Demand pacing,26.5,0.15,0.0057,20.0,"Demand pacing(lift 26.5,n3) | Extensive ST-T changes may be due to hypertrophy and/or ischemia(lift 20.3,n4) | Atrial fibrillation.(lift 13.7,n3)",0.4879786509340216
125,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.2332397957589355
126,Sinus rhythm with PAC(s),19.39,0.2,0.0103,20.0,"Sinus rhythm with PAC(s)(lift 19.4,n4) | Possible left anterior fascicular block(lift 11.1,n3) | Possible anteroseptal infarct - age undetermined(lift 8.6,n3)",4.232689819820383
127,WPW pattern,792.11,0.2,0.0003,20.0,"WPW pattern(lift 792.1,n4) | Short PR interval(lift 21.5,n6) | Left bundle branch block(lift 15.5,n9)",2.08915859931128
128,Atrial fibrillation with PVC(s),80.06,0.15,0.0019,20.0,"Atrial fibrillation with PVC(s)(lift 80.1,n3) | Demand pacing(lift 44.2,n5) | Extensive ST-T changes may be due to hypertrophy and/or ischemia(lift 20.3,n4)",3.9908254013886895
129,Extensive infarct - age undetermined,41.34,0.25,0.006,20.0,"Extensive infarct - age undetermined(lift 41.3,n5) | Atrial fibrillation with rapid ventricular response(lift 13.1,n3) | Low QRS voltages in precordial leads(lift 5.0,n5)",0.0824963907829032
130,NO_SPECIFIC_DX,0.0,0.0,0.0,6.0,,0.0008749617204247
131,Sinus rhythm with bigeminal PVCs,341.9,0.25,0.0007,20.0,"Sinus rhythm with bigeminal PVCs(lift 341.9,n5) | Inferior infarct - age undetermined(lift 2.9,n3)",1.622179029667452
132,Atrial fibrillation with rapid ventricular response.,33.02,0.25,0.0076,20.0,"Atrial fibrillation with rapid ventricular response.(lift 33.0,n5) | Atrial fibrillation with rapid ventricular response(lift 13.1,n3) | Leftward axis(lift 3.6,n3)",1.2105720374733606
133,Prolonged QT interval,4.32,0.2,0.0463,20.0,"Prolonged QT interval(lift 4.3,n4) | Left axis deviation(lift 2.1,n4) | Sinus bradycardia(lift 2.0,n3)",0.007124688294887
134,Ventricular pacing.,83.03,0.2,0.0024,20.0,"Ventricular pacing.(lift 83.0,n4) | Demand pacing(lift 61.8,n7) | Pacemaker rhythm - no further analysis(lift 33.7,n12)",0.5709750198428819
135,Sinus bradycardia,4.0,0.3,0.0751,20.0,"Sinus bradycardia(lift 4.0,n6) | Sinus tachycardia(lift 2.9,n3)",0.1192447830407419
136,Lateral T wave changes are nonspecific,5.54,0.15,0.0271,20.0,"Lateral T wave changes are nonspecific(lift 5.5,n3) | Leftward axis(lift 3.6,n3) | Right bundle branch block(lift 3.6,n3)",0.3247357928090646
137,A-V sequential pacemaker,58.6,0.15,0.0026,20.0,"A-V sequential pacemaker(lift 58.6,n3) | Sinus rhythm with 1st degree A-V block(lift 24.4,n7) | Right bundle branch block(lift 19.1,n16)",1.3203172361209197
138,NO_SPECIFIC_DX,0.0,0.0,0.0,1.0,,0.0001249945314892
139,- first degree A-V block,81.3,0.15,0.0018,20.0,"- first degree A-V block(lift 81.3,n3) | Sinus bradycardia with 1st degree A-V block(lift 24.0,n3) | Sinus rhythm with 1st degree A-V block(lift 13.9,n4)",1.9932877936590276
140,Left bundle branch block,25.78,0.75,0.0291,20.0,"Left bundle branch block(lift 25.8,n15) | Pacemaker rhythm - no further analysis(lift 8.4,n3)",1.4756854387620542
141,Extensive ST-T changes may be due to hypertrophy and/or ischemia,15.23,0.15,0.0098,18.0,"Extensive ST-T changes may be due to hypertrophy and/or ischemia(lift 15.2,n3) | Left bundle branch block(lift 10.3,n6) | LVH with secondary repolarization abnormality(lift 8.2,n3)",2.1182823251482747
142,"ST elev, probable normal early repol pattern",62.29,0.3,0.0048,14.0,"ST elev, probable normal early repol pattern(lift 62.3,n6) | Sinus bradycardia(lift 4.0,n6)",1.0943271231883605
143,Extensive ST-T changes are nonspecific,15.22,0.15,0.0099,20.0,"Extensive ST-T changes are nonspecific(lift 15.2,n3) | *** CONSIDER ACUTE ST ELEVATION MI ***(lift 13.8,n3) | Prolonged QT interval(lift 7.6,n7)",8.113520033498535
144,Pacemaker rhythm - no further analysis,16.87,0.3,0.0178,20.0,"Pacemaker rhythm - no further analysis(lift 16.9,n6) | Lateral T wave changes are nonspecific(lift 5.5,n3) | Low QRS voltages in precordial leads(lift 3.0,n3)",0.0034998468816989
