atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct
37,Uninformative,0,,30553,3.8189579205909743
38,Uninformative,0,,4,0.0004999781259569894
39,Uninformative,0,,60196,7.524170817526733
40,Uninformative,0,,10,0.0012499453148924736
41,Entangled,5,TXT:Ventricular pacing; TXT:Extensive infarct - age undetermined; TXT:Possible extensive infarct - age undeter; TXT:Anterolateral infarct - age undetermined; TXT:Atrial-sensed ventricular-paced rhythm,15001,1.8750429668701993
42,Entangled,4,"TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",11324,1.415438074584237
43,Uninformative,0,,17,0.002124907035317205
44,Uninformative,0,,56594,7.073940515102464
45,Uninformative,0,,3,0.000374983594467742
46,Uninformative,0,,25583,3.1977350990894147
47,Uninformative,0,,650,0.08124644546801077
48,Uninformative,0,,3,0.000374983594467742
49,Uninformative,0,,808,0.10099558144331186
50,Uninformative,0,,27,0.0033748523502096783
51,Uninformative,0,,18885,2.360521727174436
52,Uninformative,0,,16,0.0019999125038279576
53,Separable,1,"TXT:Abnormal R-wave progression, early trans",31362,3.9200784965657753
54,Uninformative,0,,1766,0.22074034261001083
55,Entangled,2,TXT:Ventricular pacing; TXT:Atrial flutter with 4:1 A-V block,23525,2.940496353284544
56,Uninformative,0,,464,0.05799746261101077
57,Uninformative,0,,43924,5.490259801133701
58,Entangled,2,NUM:tachycardia; TXT:Probable sinus tachycardia,90520,11.31450499040667
59,Uninformative,0,,2150,0.2687382427018818
60,Uninformative,0,,36103,4.512677570356297
61,Uninformative,0,,28357,3.544469929440587
62,Uninformative,0,,4,0.0004999781259569894
63,Uninformative,0,,22,0.0027498796927634414
64,Uninformative,0,,150,0.0187491797233871
65,Entangled,3,TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,3378,0.42223152737067754
66,Uninformative,0,,2,0.0002499890629784947
67,Uninformative,0,,39483,4.935159086789953
68,Uninformative,0,,552,0.06899698138206453
69,Separable,1,"TXT:Extreme tachycardia with wide complex, n",37045,4.630422419019168
70,Uninformative,0,,122,0.015249332841688177
71,Uninformative,0,,1975,0.2468641996912635
72,Uninformative,0,,137,0.017124250814026885
73,Uninformative,0,,235,0.029373714899973126
74,Uninformative,0,,32554,4.069071978100958
75,Uninformative,0,,854,0.10674532989181723
76,Entangled,2,TXT:Severe right axis deviation; TXT:Extensive infarct - age undetermined,34547,4.318186079359028
77,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,2016,0.25198897548232263
78,Uninformative,0,,2,0.0002499890629784947
79,Separable,1,TXT:Atrial flutter with 4:1 A-V block,29204,3.6503402976119794
80,Uninformative,0,,14,0.0017499234408494629
81,Uninformative,0,,44702,5.587505546632335
82,Uninformative,0,,1106,0.13824395182710755
83,Uninformative,0,,741,0.09262094783353228
84,Separable,1,TXT:Probable junctional rhythm,24053,3.006493465910866
85,Entangled,2,TXT:Possible idioventricular rhythm with slo; TXT:Probable junctional rhythm,19355,2.4192691569743823
86,Uninformative,0,,48169,6.020861587305555
87,Separable,1,TXT:Severe right axis deviation,5616,0.7019692888436131
88,Uninformative,0,,78588,9.823070240676971
89,Uninformative,0,,4857,0.6070984394432744
90,Dead,0,,0,0.0
91,Uninformative,0,,113802,14.224627672539327
92,Uninformative,0,,12,0.001499934377870968
93,Uninformative,0,,273,0.034123507096564525
94,Uninformative,0,,18,0.0022499015668064524
95,Entangled,7,"TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter; TXT:Atrial flutter with 4:1 A-V block; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",27265,3.407975901054329
96,Uninformative,0,,226,0.0282487641165699
97,Dead,0,,0,0.0
98,Uninformative,0,,92,0.011499496897010755
99,Uninformative,0,,37986,4.74804227315055
100,Uninformative,0,,17595,2.199278781553307
101,Separable,1,TXT:Probable sinus tachycardia,7251,0.9063353478285325
102,Uninformative,0,,2,0.0002499890629784947
103,Entangled,3,TXT:Atrial fibrillation with slow ventricula; TXT:Possible idioventricular rhythm with slo; TXT:Probable junctional rhythm,77057,9.631703612966932
104,Uninformative,0,,7,0.0008749617204247314
105,Uninformative,0,,38,0.0047497921965913995
106,Uninformative,0,,21245,2.6555088214890596
107,Uninformative,0,,12,0.001499934377870968
108,Uninformative,0,,4,0.0004999781259569894
109,Separable,1,TXT:Atrial fibrillation with slow ventricula,15230,1.9036667145812372
110,Separable,1,TXT:Marked sinus bradycardia,23560,2.9448711618866676
111,Uninformative,0,,9955,1.2443205609754573
112,Entangled,2,TXT:Atrial fibrillation with slow ventricula; TXT:Probable junctional rhythm,46012,5.751248382883249
113,Uninformative,0,,5,0.0006249726574462368
114,Uninformative,0,,12015,1.501809295843307
115,Uninformative,0,,43394,5.4240126994444
116,Separable,1,TXT:Anterolateral ST-T changes may be due to,90783,11.347378552188342
117,Uninformative,0,,4,0.0004999781259569894
118,Entangled,8,"TXT:Ventricular pacing; TXT:A-V sequential pacemaker; TXT:Extensive infarct - age undetermined; TXT:Possible extensive infarct - age undeter; TXT:Accelerated idioventricular rhythm; TXT:Anterolateral infarct - age undetermined; TXT:Extreme tachycardia with wide complex, n; TXT:Atrial-sensed ventricular-paced rhythm",19123,2.390270425668877
119,Uninformative,0,,52,0.006499715637440862
120,Uninformative,0,,17627,2.203278606560963
121,Uninformative,0,,7089,0.8860862337272745
122,Separable,1,TXT:A-V sequential pacemaker,6234,0.779215909303968
123,Uninformative,0,,6,0.000749967188935484
124,Uninformative,0,,3904,0.48797865093402165
125,Uninformative,0,,1866,0.23323979575893555
126,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,33863,4.232689819820383
127,Uninformative,0,,16714,2.08915859931128
128,Separable,1,TXT:Atrial fibrillation with slow ventricula,31928,3.9908254013886895
129,Uninformative,0,,660,0.08249639078290325
130,Uninformative,0,,7,0.0008749617204247314
131,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,12978,1.622179029667452
132,Separable,1,TXT:Atrial flutter with uncontrolled ventric,9685,1.2105720374733606
133,Uninformative,0,,57,0.007124688294887099
134,Uninformative,0,,4568,0.5709750198428819
135,Uninformative,0,,954,0.11924478304074197
136,Uninformative,0,,2598,0.3247357928090646
137,Uninformative,0,,10563,1.3203172361209197
138,Uninformative,0,,1,0.00012499453148924735
139,Uninformative,0,,15947,1.9932877936590274
140,Uninformative,0,,11806,1.4756854387620542
141,Uninformative,0,,16947,2.1182823251482747
142,Uninformative,0,,8755,1.0943271231883605
143,Separable,1,TXT:Atrial flutter with uncontrolled ventric,64911,8.113520033498535
144,Uninformative,0,,28,0.0034998468816989257
145,Separable,1,"TXT:Extreme tachycardia with wide complex, n",4656,0.5819745386139357
146,Uninformative,0,,2,0.0002499890629784947
147,Uninformative,0,,294,0.03674839225783872
148,Uninformative,0,,2101,0.2626135106589087
149,Uninformative,0,,8839,1.1048266638334572
150,Uninformative,0,,12,0.001499934377870968
151,Uninformative,0,,388,0.04849787821782797
152,Uninformative,0,,75,0.00937458986169355
153,Uninformative,0,,34434,4.304061697300743
154,Uninformative,0,,9,0.0011249507834032262
155,Entangled,2,NUM:bradycardia; TXT:Atrial fibrillation with slow ventricula,46131,5.766122732130469
156,Entangled,4,TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter; TXT:Atrial flutter with 4:1 A-V block; TXT:Atrial flutter with uncontrolled ventric,7773,0.9715824932659196
157,Uninformative,0,,1121,0.14011886979944627
158,Separable,1,TXT:Atrial flutter with rapid ventricular re,11161,1.3950639659514896
159,Uninformative,0,,43908,5.488259888629872
160,Uninformative,0,,3,0.000374983594467742
161,Uninformative,0,,3758,0.4697294493365915
162,Uninformative,0,,28034,3.5040966957695603
163,Uninformative,0,,25609,3.2009849569081354
164,Uninformative,0,,11141,1.3925640753217048
165,Separable,1,TXT:Probable sinus tachycardia,26909,3.3634778478441567
166,Uninformative,0,,1736,0.2169905066653334
167,Uninformative,0,,15,0.0018749179723387102
168,Uninformative,0,,14929,1.8660433606029736
169,Uninformative,0,,20,0.002499890629784947
170,Uninformative,0,,19989,2.498515689938565
171,Separable,1,"TXT:Extreme tachycardia with wide complex, n",33056,4.13181923290856
172,Uninformative,0,,23,0.002874874224252689
173,Uninformative,0,,26030,3.2536076546651085
174,Entangled,4,TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter with uncontrolled ventric,16987,2.123282106407845
175,Entangled,2,TXT:Ventricular pacing; TXT:A-V sequential pacemaker,15525,1.940540101370565
176,Uninformative,0,,10,0.0012499453148924736
177,Uninformative,0,,1908,0.23848956608148394
178,Uninformative,0,,25270,3.1586118107332806
179,Entangled,2,TXT:Possible extensive infarct - age undeter; TXT:Anterolateral infarct - age undetermined,10315,1.2893185923115864
180,Uninformative,0,,29851,3.7312117594855225
181,Uninformative,0,,466,0.058247451673989266
182,Separable,1,NUM:bradycardia,61524,7.690163555344454
183,Separable,1,"TXT:Extreme tachycardia with wide complex, n",7597,0.9495834557238121
184,Dead,0,,0,0.0
185,Separable,1,TXT:Atrial flutter with 4:1 A-V block,16274,2.0341610054560113
186,Uninformative,0,,3,0.000374983594467742
187,Uninformative,0,,29332,3.666339597642603
188,Separable,1,TXT:RBBB and LAFB,29142,3.642590636659646
189,Separable,1,TXT:Severe right axis deviation,48003,6.000112495078341
190,Separable,1,NUM:tachycardia,57768,7.22068409507084
191,Uninformative,0,,28,0.0034998468816989257
192,Uninformative,0,,4,0.0004999781259569894
193,Entangled,2,TXT:Probable sinus tachycardia; TXT:Atrial flutter with rapid ventricular re,13898,1.7371739986375596
194,Uninformative,0,,6,0.000749967188935484
195,Uninformative,0,,5,0.0006249726574462368
196,Uninformative,0,,25,0.0031248632872311836
197,Uninformative,0,,7,0.0008749617204247314
198,Separable,1,NUM:tachycardia,29679,3.709712700069372
199,Uninformative,0,,588,0.07349678451567744
200,Uninformative,0,,8,0.0009999562519139788
201,Uninformative,0,,2923,0.36535901554307
202,Uninformative,0,,93830,11.728236889636078
203,Uninformative,0,,167,0.020874086758704308
204,Separable,1,TXT:A-V sequential pacemaker,6315,0.789340466354597
205,Uninformative,0,,2,0.0002499890629784947
206,Uninformative,0,,2850,0.3562344147443549
207,Uninformative,0,,21230,2.653633903516721
208,Separable,1,TXT:Atrial flutter with 4:1 A-V block,54231,6.778578437193373
209,Uninformative,0,,16349,2.043535595317705
210,Uninformative,0,,6,0.000749967188935484
211,Separable,1,NUM:bradycardia,40558,5.069528208140894
212,Separable,1,TXT:Atrial flutter with 4:1 A-V block,18656,2.3318979794633985
213,Uninformative,0,,52086,6.510465167148937
214,Uninformative,0,,15370,1.9211659489897317
215,Dead,0,,0,0.0
216,Uninformative,0,,28094,3.511596367658915
217,Uninformative,0,,2,0.0002499890629784947
218,Uninformative,0,,23431,2.9287468673245547
219,Uninformative,0,,30999,3.8747054816351785
220,Uninformative,0,,847,0.1058703681713925
221,Separable,1,NUM:bradycardia,41312,5.163774084883786
222,Uninformative,0,,5,0.0006249726574462368
223,Uninformative,0,,11,0.0013749398463817207
224,Separable,1,TXT:Ventricular pacing,4670,0.5837244620547851
225,Uninformative,0,,7217,0.9020855337578981
226,Entangled,5,"TXT:Ventricular pacing; TXT:A-V sequential pacemaker; TXT:Extensive infarct - age undetermined; TXT:Accelerated idioventricular rhythm; TXT:Extreme tachycardia with wide complex, n",26692,3.33635403451099
227,Uninformative,0,,39,0.004874786728080647
228,Uninformative,0,,30,0.0037498359446774205
229,Entangled,7,TXT:Ventricular pacing; TXT:Severe right axis deviation; TXT:A-V sequential pacemaker; TXT:Extensive infarct - age undetermined; TXT:Possible extensive infarct - age undeter; TXT:Accelerated idioventricular rhythm; TXT:Atrial-sensed ventricular-paced rhythm,18572,2.3213984388183015
230,Uninformative,0,,66976,8.37163374102383
231,Entangled,3,"TXT:Abnormal R-wave progression, early trans; TXT:RBBB and LAFB; TXT:ST elev, probable normal early repol pat",44688,5.585755623191486
232,Separable,1,TXT:Anterolateral ST-T changes may be due to,47635,5.9541145074902975
233,Uninformative,0,,30767,3.845706750329673
234,Uninformative,0,,286,0.03574843600592474
235,Uninformative,0,,1,0.00012499453148924735
236,Uninformative,0,,15550,1.9436649646577961
237,Uninformative,0,,37773,4.72141843794334
238,Uninformative,0,,124049,15.505446636709644
239,Entangled,2,TXT:Severe right axis deviation; TXT:Incomplete RBBB,48839,6.104607923403351
240,Uninformative,0,,4,0.0004999781259569894
241,Uninformative,0,,85109,10.638159580518352
242,Uninformative,0,,11,0.0013749398463817207
243,Entangled,2,TXT:Probable sinus tachycardia; TXT:Atrial flutter with rapid ventricular re,9480,1.1849481585180648
244,Separable,1,TXT:Atrial flutter with rapid ventricular re,20220,2.527389426712581
245,Uninformative,0,,27718,3.4645984238189578
246,Uninformative,0,,20387,2.5482635134712854
247,Uninformative,0,,48684,6.0852337710225175
248,Separable,1,TXT:Incomplete RBBB,141695,17.711100139368902
249,Uninformative,0,,16,0.0019999125038279576
250,Uninformative,0,,3,0.000374983594467742
251,Separable,1,TXT:Atrial flutter with rapid ventricular re,18435,2.3042741880042747
252,Entangled,3,TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,19695,2.4617672976807263
253,Uninformative,0,,1,0.00012499453148924735
254,Uninformative,0,,1040,0.12999431274881723
255,Entangled,5,"TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",19211,2.401269944439931
256,Uninformative,0,,3,0.000374983594467742
257,Uninformative,0,,18,0.0022499015668064524
258,Entangled,3,TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,3550,0.4437305867868281
259,Uninformative,0,,1,0.00012499453148924735
260,Uninformative,0,,26191,3.2737317742348773
261,Entangled,3,TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,22534,2.8166267725786995
262,Uninformative,0,,2,0.0002499890629784947
263,Uninformative,0,,5,0.0006249726574462368
264,Uninformative,0,,19331,2.4162692882186403
265,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,3090,0.3862331023017743
266,Separable,1,TXT:Marked sinus bradycardia,5081,0.6350972144968657
267,Uninformative,0,,7,0.0008749617204247314
268,Entangled,9,"NUM:left_axis; TXT:Extensive infarct - age undetermined; TXT:Possible extensive infarct - age undeter; TXT:Accelerated idioventricular rhythm; TXT:Lateral infarct - age undetermined; TXT:Tall T waves - consider acute ischemia o; TXT:Anterolateral infarct - age undetermined; TXT:Extreme tachycardia with wide complex, n; TXT:Atrial-sensed ventricular-paced rhythm",124755,15.593692775941053
269,Uninformative,0,,252,0.03149862193529033
270,Uninformative,0,,22943,2.867749535957802
271,Uninformative,0,,51899,6.487091189760448
272,Uninformative,0,,29536,3.6918384820664096
273,Separable,1,NUM:bradycardia,62485,7.81028330010562
274,Entangled,2,NUM:tachycardia; TXT:Atrial flutter with rapid ventricular re,42792,5.3487659914878725
275,Entangled,2,"TXT:RBBB and LAFB; TXT:ST elev, probable normal early repol pat",18507,2.3132737942715007
276,Uninformative,0,,17,0.002124907035317205
277,Uninformative,0,,309,0.03862331023017743
278,Uninformative,0,,12,0.001499934377870968
279,Uninformative,0,,2,0.0002499890629784947
280,Uninformative,0,,46,0.005749748448505378
281,Uninformative,0,,9,0.0011249507834032262
282,Uninformative,0,,105393,13.173548657246245
283,Uninformative,0,,5,0.0006249726574462368
284,Uninformative,0,,149,0.018624185191897853
285,Uninformative,0,,30727,3.8407069690701032
286,Separable,1,TXT:Atrial flutter with rapid ventricular re,22328,2.7908778990919147
287,Uninformative,0,,4,0.0004999781259569894
288,Uninformative,0,,23,0.002874874224252689
289,Entangled,5,"TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter; TXT:Atrial flutter with 4:1 A-V block; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",11247,1.405813495659565
290,Uninformative,0,,575,0.07187185560631722
291,Uninformative,0,,23774,2.9716199916253663
292,Uninformative,0,,5168,0.6459717387364303
293,Uninformative,0,,33,0.004124819539145163
294,Uninformative,0,,2,0.0002499890629784947
295,Uninformative,0,,3,0.000374983594467742
296,Dead,0,,0,0.0
297,Uninformative,0,,127,0.015874305499134413
298,Uninformative,0,,12,0.001499934377870968
299,Entangled,2,TXT:RBBB and LAFB; TXT:Atrial-sensed ventricular-paced rhythm,12071,1.5088089896067047
300,Uninformative,0,,23,0.002874874224252689
301,Uninformative,0,,47651,5.956114419994125
302,Uninformative,0,,134,0.016749267219559143
303,Separable,1,"TXT:Extreme tachycardia with wide complex, n",1211,0.15136837763347855
304,Uninformative,0,,35,0.004374808602123657
305,Uninformative,0,,1,0.00012499453148924735
306,Uninformative,0,,11,0.0013749398463817207
307,Uninformative,0,,3,0.000374983594467742
308,Entangled,4,"TXT:Severe right axis deviation; TXT:Possible extensive infarct - age undeter; TXT:Anterolateral infarct - age undetermined; TXT:Extreme tachycardia with wide complex, n",19677,2.45951739611392
309,Uninformative,0,,35264,4.407807158436818
310,Uninformative,0,,1481,0.18511690113557533
311,Uninformative,0,,27,0.0033748523502096783
312,Uninformative,0,,16921,2.1150324673295544
313,Uninformative,0,,18467,2.3082740130119306
314,Separable,1,TXT:Probable sinus tachycardia,19929,2.4910160180492102
315,Uninformative,0,,22282,2.7851281506434096
316,Uninformative,0,,10,0.0012499453148924736
317,Uninformative,0,,347,0.04337310242676883
318,Uninformative,0,,4,0.0004999781259569894
319,Uninformative,0,,34364,4.295312080096496
320,Uninformative,0,,10813,1.3515658689932315
321,Separable,1,"TXT:Extreme tachycardia with wide complex, n",31836,3.9793259044916787
322,Entangled,2,NUM:right_axis; TXT:Severe right axis deviation,57312,7.163686588711744
323,Uninformative,0,,47941,5.992362834126007
324,Uninformative,0,,25577,3.196985131900479
325,Dead,0,,0,0.0
326,Uninformative,0,,3568,0.4459804883536345
327,Separable,1,TXT:Marked sinus bradycardia,4056,0.5069778197203872
328,Separable,1,"TXT:ST elev, probable normal early repol pat",31677,3.9594517739848882
329,Uninformative,0,,2555,0.31936102795502697
330,Uninformative,0,,351,0.04387308055272582
331,Uninformative,0,,2,0.0002499890629784947
332,Uninformative,0,,11,0.0013749398463817207
333,Separable,1,"TXT:Abnormal R-wave progression, early trans",2510,0.31373627403801085
334,Entangled,2,TXT:Marked sinus bradycardia; TXT:Probable junctional rhythm,23230,2.903622966495216
335,Uninformative,0,,6763,0.8453380164617798
336,Uninformative,0,,5,0.0006249726574462368
337,Uninformative,0,,1352,0.1689926065734624
338,Uninformative,0,,52862,6.607460923584593
339,Uninformative,0,,90843,11.354878224077696
340,Uninformative,0,,10749,1.3435662189779196
341,Entangled,2,ICD:AF; TXT:Atrial flutter,53645,6.705331641740674
342,Uninformative,0,,23595,2.949245970488791
343,Uninformative,0,,23,0.002874874224252689
344,Uninformative,0,,4085,0.5106026611335754
345,Dead,0,,0,0.0
346,Separable,1,TXT:Anterolateral ST-T changes may be due to,38672,4.833788521752173
347,Entangled,2,TXT:Marked sinus bradycardia; TXT:Probable junctional rhythm,8165,1.0205803496097046
348,Separable,1,TXT:Probable junctional rhythm,24859,3.1072390582911997
349,Uninformative,0,,4,0.0004999781259569894
350,Uninformative,0,,8280,1.034954720730968
351,Uninformative,0,,12178,1.5221834044760543
352,Separable,1,TXT:Anterolateral ST-T changes may be due to,45943,5.742623760210491
353,Entangled,7,TXT:Ventricular pacing; TXT:Severe right axis deviation; TXT:A-V sequential pacemaker; TXT:Extensive infarct - age undetermined; TXT:Possible extensive infarct - age undeter; TXT:Accelerated idioventricular rhythm; TXT:Anterolateral infarct - age undetermined,33791,4.223690213553157
354,Separable,1,"TXT:Abnormal R-wave progression, early trans",33433,4.178942171280006
355,Uninformative,0,,3,0.000374983594467742
356,Entangled,5,TXT:Atrial fibrillation with slow ventricula; TXT:Sinus rhythm with bigeminal PVCs; TXT:Marked sinus bradycardia; TXT:Possible idioventricular rhythm with slo; TXT:Probable junctional rhythm,20429,2.553513283793834
357,Uninformative,0,,11061,1.382564512802565
358,Uninformative,0,,439,0.05487259932377959
359,Uninformative,0,,400,0.04999781259569894
360,Uninformative,0,,32257,4.031948602248652
361,Separable,1,TXT:Atrial fibrillation with slow ventricula,73420,9.17709850194054
362,Uninformative,0,,143,0.01787421800296237
363,Uninformative,0,,43048,5.38076459154912
364,Separable,1,TXT:Atrial flutter with 4:1 A-V block,67432,8.428631247382928
365,Uninformative,0,,5226,0.6532214215628066
366,Uninformative,0,,8,0.0009999562519139788
367,Separable,1,TXT:A-V sequential pacemaker,2891,0.3613591905354141
368,Uninformative,0,,29,0.003624841413188173
369,Uninformative,0,,8,0.0009999562519139788
370,Uninformative,0,,1469,0.18361696675770436
371,Dead,0,,0,0.0
372,Separable,1,TXT:Severe right axis deviation,22066,2.758129331841732
373,Uninformative,0,,1852,0.23148987231808607
374,Uninformative,0,,11665,1.4580612098220702
375,Uninformative,0,,3,0.000374983594467742
376,Uninformative,0,,22,0.0027498796927634414
377,Uninformative,0,,9961,1.2450705281643928
378,Uninformative,0,,1517,0.18961670426918822
379,Uninformative,0,,16,0.0019999125038279576
380,Uninformative,0,,15308,1.9134162880373984
381,Uninformative,0,,2,0.0002499890629784947
382,Uninformative,0,,8,0.0009999562519139788
383,Uninformative,0,,8683,1.0853275169211347
384,Uninformative,0,,14105,1.7630478666558338
385,Uninformative,0,,1,0.00012499453148924735
386,Uninformative,0,,45,0.00562475391701613
387,Entangled,2,TXT:Ventricular pacing; TXT:A-V sequential pacemaker,8927,1.115826182604511
388,Entangled,2,"TXT:Abnormal R-wave progression, early trans; TXT:ST elev, probable normal early repol pat",34929,4.36593399038792
389,Uninformative,0,,142,0.017749223471473122
390,Uninformative,0,,17,0.002124907035317205
391,Uninformative,0,,32605,4.07544669920691
392,Separable,1,"TXT:Extreme tachycardia with wide complex, n",1769,0.22111532620447855
393,Uninformative,0,,32,0.003999825007655915
394,Uninformative,0,,64342,8.042398145081153
395,Entangled,2,TXT:A-V sequential pacemaker; TXT:Atrial pacing,10801,1.3500659346153605
396,Entangled,3,NUM:bradycardia; TXT:Possible idioventricular rhythm with slo; TXT:Probable junctional rhythm,73365,9.170223802708632
397,Uninformative,0,,5845,0.7305930365546507
398,Uninformative,0,,76332,9.541082577637228
399,Uninformative,0,,2,0.0002499890629784947
400,Uninformative,0,,4,0.0004999781259569894
401,Separable,1,"TXT:ST elev, probable normal early repol pat",24776,3.0968645121775924
402,Uninformative,0,,4,0.0004999781259569894
403,Entangled,2,NUM:st_depression; TXT:Sinus rhythm with bigeminal PVCs,99582,12.447205434762228
404,Uninformative,0,,78988,9.87306805327267
405,Uninformative,0,,17654,2.206653458911173
406,Uninformative,0,,24562,3.0701156824388933
407,Separable,1,TXT:A-V sequential pacemaker,6305,0.7880905210397046
408,Uninformative,0,,16617,2.0770341297568233
409,Uninformative,0,,2,0.0002499890629784947
410,Separable,1,TXT:A-V sequential pacemaker,3053,0.38160830463667217
411,Dead,0,,0,0.0
412,Uninformative,0,,11,0.0013749398463817207
413,Uninformative,0,,7,0.0008749617204247314
414,Uninformative,0,,1,0.00012499453148924735
415,Uninformative,0,,1074,0.13424412681945164
416,Uninformative,0,,7558,0.9447086689957315
417,Uninformative,0,,15330,1.9161661677301618
418,Uninformative,0,,3186,0.39823257732474204
419,Separable,1,"TXT:Extreme tachycardia with wide complex, n",1232,0.15399326279475273
420,Entangled,4,"TXT:Probable sinus tachycardia; TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",2592,0.3239858256201291
421,Uninformative,0,,7,0.0008749617204247314
422,Uninformative,0,,165,0.02062409769572581
423,Uninformative,0,,8872,1.1089514833726024
424,Uninformative,0,,4,0.0004999781259569894
425,Entangled,4,"TXT:Probable sinus tachycardia; TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",27820,3.477347866030861
426,Separable,1,"TXT:Extreme tachycardia with wide complex, n",38302,4.787540545101152
427,Separable,1,TXT:Atrial flutter with rapid ventricular re,20540,2.5673876767891404
428,Entangled,2,TXT:Probable supraventricular tachycardia; TXT:Atrial flutter with uncontrolled ventric,559,0.06987194310248927
429,Uninformative,0,,74755,9.343966201478686
430,Uninformative,0,,44,0.005499759385526883
431,Entangled,2,TXT:Atrial flutter with rapid ventricular re; TXT:Atrial flutter with uncontrolled ventric,8328,1.040954458242452
432,Uninformative,0,,11206,1.4006887198685058
433,Entangled,2,TXT:Marked sinus bradycardia; TXT:Possible idioventricular rhythm with slo,8731,1.0913272544326185
434,Uninformative,0,,70697,8.83673839269532
435,Uninformative,0,,13,0.0016249289093602155
436,Separable,1,TXT:Atrial fibrillation with slow ventricula,3804,0.4754791977850969
437,Uninformative,0,,363,0.04537301493059678
438,Uninformative,0,,5,0.0006249726574462368
439,Uninformative,0,,28302,3.5375952302086784
440,Uninformative,0,,47124,5.890242301899292
441,Separable,1,TXT:Marked sinus bradycardia,1879,0.23486472466829575
442,Uninformative,0,,1088,0.13599405026030112
443,Entangled,4,"TXT:Abnormal R-wave progression, early trans; TXT:RBBB and LAFB; TXT:ST elev, probable normal early repol pat; TXT:Atrial-sensed ventricular-paced rhythm",66975,8.37150874649234
444,Uninformative,0,,4,0.0004999781259569894
